epoch_index,timestamp,from_mode,to_mode,duration_in_previous_s
102,3060.000,FLOAT,FIX,3060.000
103,3090.000,FIX,FLOAT,30.000
182,5460.000,FLOAT,FIX,2370.000
183,5490.000,FIX,FLOAT,30.000
564,16920.000,FLOAT,FIX,11430.000
576,17280.000,FIX,FLOAT,360.000
664,19920.000,FLOAT,FIX,2640.000
666,19980.000,FIX,FLOAT,60.000
1154,34620.000,FLOAT,FIX,14640.000
1169,35070.000,FIX,FLOAT,450.000
1484,44520.000,FLOAT,FIX,9450.000
1485,44550.000,FIX,FLOAT,30.000
1491,44730.000,FLOAT,FIX,180.000
1495,44850.000,FIX,FLOAT,120.000
1563,46890.000,FLOAT,FIX,2040.000
1581,47430.000,FIX,FLOAT,540.000
1594,47820.000,FLOAT,FIX,390.000
1607,48210.000,FIX,FLOAT,390.000
1904,57120.000,FLOAT,FIX,8910.000
1906,57180.000,FIX,FLOAT,60.000
2211,66330.000,FLOAT,FIX,9150.000
2214,66420.000,FIX,FLOAT,90.000
