epoch_index,timestamp,from_mode,to_mode,duration_in_previous_s
3,32403.000,FIX,SINGLE,3.000
4,32404.000,SINGLE,FIX,1.000
7,32407.000,FIX,FLOAT,3.000
8,32408.000,FLOAT,FIX,1.000
20,32420.000,FIX,SINGLE,12.000
21,32421.000,SINGLE,FIX,1.000
23,32423.000,FIX,FLOAT,2.000
25,32425.000,FLOAT,FIX,2.000
28,32428.000,FIX,SINGLE,3.000
29,32429.000,SINGLE,FIX,1.000
32,32432.000,FIX,FLOAT,3.000
33,32433.000,FLOAT,FIX,1.000
34,32434.000,FIX,SINGLE,1.000
41,32441.000,SINGLE,FIX,7.000
42,32442.000,FIX,SINGLE,1.000
43,32443.000,SINGLE,FIX,1.000
46,32446.000,FIX,FLOAT,3.000
47,32447.000,FLOAT,FIX,1.000
48,32448.000,FIX,FLOAT,1.000
49,32449.000,FLOAT,FIX,1.000
50,32450.000,FIX,SINGLE,1.000
51,32451.000,SINGLE,FIX,1.000
55,32455.000,FIX,FLOAT,4.000
56,32456.000,FLOAT,FIX,1.000
57,32457.000,FIX,SINGLE,1.000
58,32458.000,SINGLE,FIX,1.000
68,32468.000,FIX,SINGLE,10.000
69,32469.000,SINGLE,FIX,1.000
72,32472.000,FIX,FLOAT,3.000
73,32473.000,FLOAT,FIX,1.000
77,32477.000,FIX,SINGLE,4.000
78,32478.000,SINGLE,FIX,1.000
79,32479.000,FIX,SINGLE,1.000
80,32480.000,SINGLE,FIX,1.000
84,32484.000,FIX,FLOAT,4.000
85,32485.000,FLOAT,FIX,1.000
86,32486.000,FIX,FLOAT,1.000
87,32487.000,FLOAT,SINGLE,1.000
88,32488.000,SINGLE,FIX,1.000
100,32500.000,FIX,FLOAT,12.000
101,32501.000,FLOAT,FIX,1.000
104,32504.000,FIX,FLOAT,3.000
105,32505.000,FLOAT,FIX,1.000
111,32511.000,FIX,FLOAT,6.000
112,32512.000,FLOAT,FIX,1.000
117,32517.000,FIX,FLOAT,5.000
119,32519.000,FLOAT,FIX,2.000
121,32521.000,FIX,FLOAT,2.000
122,32522.000,FLOAT,FIX,1.000
130,32530.000,FIX,FLOAT,8.000
131,32531.000,FLOAT,FIX,1.000
136,32536.000,FIX,FLOAT,5.000
137,32537.000,FLOAT,FIX,1.000
139,32539.000,FIX,FLOAT,2.000
140,32540.000,FLOAT,FIX,1.000
149,32549.000,FIX,FLOAT,9.000
150,32550.000,FLOAT,FIX,1.000
152,32552.000,FIX,FLOAT,2.000
153,32553.000,FLOAT,FIX,1.000
157,32557.000,FIX,FLOAT,4.000
160,32560.000,FLOAT,FIX,3.000
161,32561.000,FIX,FLOAT,1.000
162,32562.000,FLOAT,FIX,1.000
168,32568.000,FIX,SINGLE,6.000
169,32569.000,SINGLE,FIX,1.000
184,32584.000,FIX,SINGLE,15.000
191,32591.000,SINGLE,FIX,7.000
193,32593.000,FIX,SINGLE,2.000
194,32594.000,SINGLE,FIX,1.000
200,32600.000,FIX,SINGLE,6.000
201,32601.000,SINGLE,FIX,1.000
206,32606.000,FIX,FLOAT,5.000
207,32607.000,FLOAT,FIX,1.000
210,32610.000,FIX,SINGLE,3.000
211,32611.000,SINGLE,FIX,1.000
214,32614.000,FIX,FLOAT,3.000
215,32615.000,FLOAT,FIX,1.000
223,32623.000,FIX,FLOAT,8.000
224,32624.000,FLOAT,FIX,1.000
227,32627.000,FIX,FLOAT,3.000
228,32628.000,FLOAT,FIX,1.000
231,32631.000,FIX,FLOAT,3.000
232,32632.000,FLOAT,FIX,1.000
233,32633.000,FIX,FLOAT,1.000
234,32634.000,FLOAT,FIX,1.000
238,32638.000,FIX,SINGLE,4.000
244,32644.000,SINGLE,FIX,6.000
246,32646.000,FIX,FLOAT,2.000
247,32647.000,FLOAT,FIX,1.000
248,32648.000,FIX,FLOAT,1.000
249,32649.000,FLOAT,FIX,1.000
252,32652.000,FIX,FLOAT,3.000
254,32654.000,FLOAT,FIX,2.000
256,32656.000,FIX,FLOAT,2.000
257,32657.000,FLOAT,FIX,1.000
259,32659.000,FIX,FLOAT,2.000
260,32660.000,FLOAT,FIX,1.000
267,32667.000,FIX,SINGLE,7.000
273,32673.000,SINGLE,FIX,6.000
278,32678.000,FIX,SINGLE,5.000
279,32679.000,SINGLE,FIX,1.000
280,32680.000,FIX,FLOAT,1.000
281,32681.000,FLOAT,FIX,1.000
288,32688.000,FIX,FLOAT,7.000
290,32690.000,FLOAT,FIX,2.000
293,32693.000,FIX,FLOAT,3.000
294,32694.000,FLOAT,FIX,1.000
295,32695.000,FIX,FLOAT,1.000
296,32696.000,FLOAT,FIX,1.000
298,32698.000,FIX,FLOAT,2.000
299,32699.000,FLOAT,FIX,1.000
