epoch,timestamp,lat_deg,lon_deg,height_m,quality,num_sats
0,95593.0,22.301199858333334,114.17905710833334,3.472,1,12
1,95594.0,22.301199858333334,114.17905710833334,3.471,1,12
2,95595.0,22.301199866666668,114.17905710000001,3.486,1,12
3,95596.0,22.301199891666666,114.1790570888889,3.481,1,12
4,95597.0,22.301199919444446,114.17905706666667,3.469,1,12
5,95598.0,22.30119995277778,114.1790570388889,3.458,1,12
6,95599.0,22.301199997222223,114.17905698611112,3.441,1,12
7,95600.0,22.301200027777778,114.179056875,3.418,1,12
8,95601.0,22.30119862777778,114.17905499722222,3.394,1,12
9,95602.0,22.30119312777778,114.179047975,3.374,1,12
10,95603.0,22.30118080277778,114.17903269444444,3.357,1,12
11,95604.0,22.301161802777777,114.17900870555556,3.358,1,12
12,95605.0,22.301138725,114.17897876388889,3.358,1,12
13,95606.0,22.301116494444447,114.17894925833333,3.359,1,12
14,95607.0,22.301091522222222,114.17892130555556,3.371,1,12
15,95608.0,22.30105871111111,114.17890365555556,3.351,1,12
16,95609.0,22.301021975,114.17890795555556,3.31,1,12
17,95610.0,22.300990280555556,114.17893377222222,3.279,1,12
18,95611.0,22.3009601,114.17896831388889,3.24,1,12
19,95612.0,22.3009244,114.17900559166667,3.212,1,12
20,95613.0,22.30088071388889,114.17904504166667,3.199,1,12
21,95614.0,22.300829575,114.17908523611112,3.17,1,12
22,95615.0,22.300774233333335,114.17912911666667,3.154,1,12
23,95616.0,22.30071691388889,114.17917936388889,3.143,1,12
24,95617.0,22.300657594444445,114.179235575,3.135,1,12
25,95618.0,22.300595119444445,114.17929500833334,3.119,1,12
26,95619.0,22.30053020277778,114.17935721111111,3.102,1,12
27,95620.0,22.300463416666666,114.17942059444445,3.109,1,12
28,95621.0,22.300396625,114.179484075,3.079,1,12
29,95622.0,22.300330388888888,114.17954580833334,3.077,1,12
30,95623.0,22.300265883333335,114.17960657500001,3.081,1,12
31,95624.0,22.30020353888889,114.17966625833334,3.086,1,12
32,95625.0,22.300147366666668,114.17971929166667,3.108,1,12
33,95626.0,22.30010486666667,114.17975974722222,3.107,1,12
34,95627.0,22.300079094444445,114.17978387777778,3.124,1,12
35,95628.0,22.300070408333333,114.17979205555557,3.139,1,12
36,95629.0,22.300070291666668,114.17979225833334,3.158,1,12
37,95630.0,22.300070366666667,114.17979225833334,3.179,1,12
38,95631.0,22.300070419444445,114.17979225833334,3.199,1,12
39,95632.0,22.300070452777778,114.17979226111112,3.22,1,12
40,95633.0,22.300070422222223,114.17979226944445,3.224,1,12
41,95634.0,22.300070416666667,114.17979226944445,3.225,1,12
42,95635.0,22.300070416666667,114.17979226944445,3.224,1,12
43,95636.0,22.300070416666667,114.17979226944445,3.223,1,12
44,95637.0,22.300070416666667,114.17979226944445,3.222,1,12
45,95638.0,22.300070416666667,114.17979226944445,3.22,1,12
46,95639.0,22.300070416666667,114.17979226944445,3.219,1,12
47,95640.0,22.300070416666667,114.17979226944445,3.217,1,12
48,95641.0,22.300070416666667,114.17979226944445,3.216,1,12
49,95642.0,22.300070416666667,114.17979226944445,3.214,1,12
50,95643.0,22.300070416666667,114.17979226944445,3.213,1,12
51,95644.0,22.300070416666667,114.17979226944445,3.211,1,12
52,95645.0,22.300070416666667,114.17979226944445,3.21,1,12
